LOCATION, NICKNAME, ABBREVIATION
Toronto, Blue Jays, TOR
New York, Yankees, NYY
Baltimore, Orioles, BAL
Boston, Red Sox, BOS
Tampa Bay, Rays, TB
Kansas City, Royals, KC
Minnesota, Twins, MIN
Cleveland, Indians, CLE
Detroit, Tigers, DET
Chicago, White Sox, CHW
Texas, Rangers, TEX
Houston, Astros, HOU
Anaheim, Angels, LAA
Seattle, Mariners, SEA
Oakland, Atheletics, OAK
New York, Mets, NYM
Washington, Nationals, WSH
Miami, Marlins, MIA
Atlanta, Braves, ATL
Philadelphia, Phillies, PHI
St. Louis, Cardinals, STL
Chicaco, Cubs, CHC
Pittsburgh, Pirates, PIT
Cincinnati, Reds, CIN
Milwaukee, Brewers, MIL
Los Angeles, Dodgers, LAD
San Francisco, Giants, SF
San Diego, Padres, SD
Arizona, Diamondbacks, ARI
Colorado, Rockies, COL
